amount,transaction_hour,is_high_risk_merchant,amount_log,merchant_category,location,day_of_week,risk_score,rapid_transaction_flag,user_transaction_count,minutes_since_last_transaction,amount_category,risk_level
2370.77,1,0,7.7713917908294,2,0,2,0,0,1,999999.0,1,1
1952.36,23,0,7.577306245686896,5,0,4,0,0,1,999999.0,1,1
4742.6,12,0,8.46455162009064,2,1,4,0,0,1,999999.0,1,1
896.68,9,0,6.79981365735661,6,2,4,0,0,1,999999.0,0,1
1801.3,0,0,7.49681890599876,4,1,5,0,0,1,999999.0,1,1
88794.99,19,1,11.394096770302966,1,7,0,45,0,1,999999.0,2,2
2497.81,17,1,7.823569897532329,1,0,5,25,0,1,999999.0,1,1
432.05,13,0,6.070853194777054,7,1,1,0,0,1,999999.0,0,1
2332.55,16,0,7.75514599220124,2,6,6,0,0,1,999999.0,1,1
1804.83,11,0,7.498775598870835,4,6,3,0,0,1,999999.0,1,1
2245.33,13,0,7.717053052377317,5,4,6,0,0,1,999999.0,1,1
140494.08,22,1,11.852927749349206,0,7,2,85,0,1,999999.0,2,0
3671.98,22,0,8.20875860066463,6,3,6,0,0,1,999999.0,1,1
1139.54,12,0,7.0392571134461175,7,6,0,0,0,1,999999.0,1,1
2096.05,1,0,7.648286874203742,2,3,4,0,0,1,999999.0,1,1
2046.93,12,1,7.62458480588776,0,6,3,25,0,1,999999.0,1,1
130642.37,1,1,11.780226523392466,1,7,2,85,0,1,999999.0,2,0
813.04,8,0,6.702009504844348,2,4,5,0,0,1,999999.0,0,1
3892.01,20,0,8.26693791632023,5,0,1,0,0,1,999999.0,1,1
851.5,14,0,6.748173209157672,7,3,5,0,0,1,999999.0,0,1
4646.57,9,1,8.444099781343386,3,7,5,45,0,1,999999.0,1,2
961.16,14,1,6.869180757002361,1,3,0,25,0,1,999999.0,0,1
96661.6,5,1,11.478981843444108,3,7,5,45,0,1,999999.0,2,2
930.81,0,0,6.83712893124183,6,5,1,0,0,1,999999.0,0,1
3305.41,19,0,8.103618287630404,2,0,0,0,0,1,999999.0,1,1
146226.75,22,1,11.892920616767997,3,7,4,85,0,1,999999.0,2,0
1550.39,4,0,7.346906582245099,7,5,3,0,0,1,999999.0,1,1
2357.46,15,1,7.765764142648335,0,5,6,25,0,1,999999.0,1,1
2161.26,2,1,7.678909249988044,3,6,5,25,0,1,999999.0,1,1
4184.02,12,0,8.339266761884678,4,3,4,0,0,1,999999.0,1,1
1516.17,0,0,7.324602036352706,4,2,4,0,0,1,999999.0,1,1
83.64,20,1,4.438406968109989,1,6,2,25,0,2,4058.0000473166665,0,1
1260.84,6,1,7.140326252179219,3,3,2,25,0,1,999999.0,1,1
4315.86,20,1,8.370283565101426,0,1,6,25,0,1,999999.0,1,1
4351.96,23,0,8.378611352445064,6,0,2,0,0,1,999999.0,1,1
4341.76,9,1,8.37626536966777,3,0,0,25,0,1,999999.0,1,1
1780.27,12,1,7.485081872024102,3,2,5,25,0,1,999999.0,1,1
199.17,3,1,5.299167005502614,0,5,4,25,0,2,42673.99986353333,0,1
1472.85,5,0,7.29563330366325,7,3,5,0,0,1,999999.0,1,1
1283.33,3,0,7.157992460574457,5,5,1,0,0,1,999999.0,1,1
185682.21,15,1,12.131797328605868,3,7,5,85,0,1,999999.0,2,0
2563.02,8,1,7.849331618322151,3,5,5,25,0,1,999999.0,1,1
62100.98,23,1,11.036533151471255,0,7,3,45,0,2,38310.0000916,2,2
1734.32,13,1,7.458947113414701,1,0,1,25,0,1,999999.0,1,1
140469.24,6,1,11.852750930373364,0,7,4,85,0,1,999999.0,2,0
4156.49,11,0,8.332666805772549,7,4,2,0,0,1,999999.0,1,1
119.74,22,0,4.79363947336828,2,1,2,0,0,1,999999.0,0,1
137445.26,12,1,11.830988283328688,3,7,1,85,0,1,999999.0,2,0
4125.66,0,1,8.325223642060287,0,4,5,25,0,1,999999.0,1,1
3787.38,15,0,8.23969376606444,6,4,2,0,0,1,999999.0,1,1
1859.18,2,0,7.528428536218475,6,6,0,0,0,1,999999.0,1,1
4425.37,3,1,8.395335114044215,3,7,4,45,0,1,999999.0,1,2
1448.4,9,1,7.278904956675181,1,2,5,25,0,1,999999.0,1,1
1804.66,9,1,7.498681454902486,3,0,5,25,0,1,999999.0,1,1
4695.87,18,0,8.45465160840318,5,0,1,0,0,1,999999.0,1,1
2984.13,21,0,8.001398575967158,4,6,3,0,0,1,999999.0,1,1
552.09,16,1,6.315520736923973,0,1,1,25,0,1,999999.0,0,1
3314.55,3,1,8.106378801376858,0,1,1,25,0,1,999999.0,1,1
2036.15,2,0,7.619307051218187,5,7,1,20,0,1,999999.0,1,1
1366.3,11,0,7.220593271315036,2,7,3,20,0,1,999999.0,1,1
2566.63,5,0,7.850738573432303,7,1,6,0,0,1,999999.0,1,1
164066.11,4,1,12.008030830420928,1,7,3,85,0,1,999999.0,2,0
721.75,11,0,6.583063380896456,4,6,1,0,0,1,999999.0,0,1
85.62,1,0,4.46153073578648,4,6,2,0,0,2,67072.9999677,0,1
2010.66,9,0,7.606715530856374,5,7,4,20,0,1,999999.0,1,1
98927.79,4,1,11.502155577372156,3,7,0,45,0,1,999999.0,2,2
3508.11,0,0,8.16311772305426,2,4,0,0,0,1,999999.0,1,1
68012.98,4,1,11.127468551263172,0,7,6,45,0,1,999999.0,2,2
1589.21,10,0,7.371621361964778,6,5,5,0,0,1,999999.0,1,1
3937.93,18,0,8.27866439180513,2,1,5,0,0,1,999999.0,1,1
54.86,7,1,4.022848560517031,0,3,4,25,0,1,999999.0,0,1
124021.32,8,1,11.728216828389115,1,7,1,85,0,1,999999.0,2,0
73264.24,17,1,11.201841559846464,1,7,0,45,0,1,999999.0,2,2
2151.0,18,0,7.674152921281675,2,5,6,0,0,1,999999.0,1,1
3973.92,8,0,8.287759901099742,2,7,0,20,0,1,999999.0,1,1
72911.86,16,1,11.1970203084747,1,7,6,45,0,1,999999.0,2,2
2440.73,18,1,7.800462083447313,0,1,2,25,0,1,999999.0,1,1
4505.55,12,0,8.413287173019793,5,7,1,20,0,2,12588.000103983331,1,1
644.04,21,0,6.469312330376766,5,3,1,0,0,1,999999.0,0,1
1924.28,10,1,7.562826690689852,0,2,5,25,0,1,999999.0,1,1
154579.64,2,1,11.948471180903294,1,7,1,85,0,1,999999.0,2,0
841.03,8,1,6.735815643061295,1,1,2,25,0,1,999999.0,0,1
4509.13,7,1,8.414081256914999,1,3,1,25,0,1,999999.0,1,1
2229.09,5,0,7.709797222384167,2,6,3,0,0,1,999999.0,1,1
4589.47,15,1,8.431737694326587,1,5,5,25,0,1,999999.0,1,1
4300.0,3,0,8.366602832783736,7,0,3,0,0,1,999999.0,1,1
4686.94,5,0,8.452748532540133,2,3,3,0,0,1,999999.0,1,1
1551.49,9,0,7.347615372563056,7,6,5,0,0,1,999999.0,1,1
1442.54,5,0,7.274853709145111,7,5,1,0,0,1,999999.0,1,1
116371.28,5,1,11.664549641588714,1,7,0,85,0,1,999999.0,2,0
2420.42,14,1,7.792109423924009,0,7,4,45,0,1,999999.0,1,2
3538.52,0,1,8.17174640371389,0,0,4,25,0,1,999999.0,1,1
1470.86,0,0,7.294282186070051,5,6,3,0,0,1,999999.0,1,1
1588.49,7,0,7.371168489044499,2,4,6,0,0,1,999999.0,1,1
129690.92,12,1,11.77291707075409,1,7,1,85,0,1,999999.0,2,0
67836.82,21,1,11.1248751355155,3,7,0,45,0,1,999999.0,2,2
4113.59,21,0,8.322294472667275,4,6,3,0,0,1,999999.0,1,1
3210.75,17,1,8.07457123891172,3,3,5,25,0,2,22830.999965933333,1,1
2641.22,23,0,7.879374751865306,5,4,5,0,0,1,999999.0,1,1
2777.89,19,1,7.929806846375429,3,3,5,25,0,1,999999.0,1,1
158297.15,19,1,11.972235559129937,1,7,5,85,0,1,999999.0,2,0
2485.62,16,0,7.818679637597567,2,7,4,20,0,1,999999.0,1,1
3041.21,14,0,8.020339503967106,2,3,2,0,0,1,999999.0,1,1
498.16,22,1,6.212926685639654,0,6,2,25,0,1,999999.0,0,1
4992.76,12,0,8.515944412015708,5,5,6,0,0,1,999999.0,1,1
3197.68,5,0,8.07049350368629,5,7,1,20,0,1,999999.0,1,1
59152.3,19,1,10.987887658213792,3,7,1,45,0,1,999999.0,2,2
1738.24,5,0,7.461203515182507,5,0,1,0,0,1,999999.0,1,1
107410.5,1,1,11.584422531674733,3,7,6,85,0,1,999999.0,2,0
1508.42,19,1,7.319480750061115,3,5,4,25,0,1,999999.0,1,1
126944.15,23,1,11.751510382385703,0,7,2,85,0,1,999999.0,2,0
636.95,16,0,6.458259910367753,6,0,5,0,0,1,999999.0,0,1
160291.11,9,1,11.984753117174188,1,7,0,85,0,1,999999.0,2,0
3735.3,9,1,8.225851095910745,3,4,4,25,0,1,999999.0,1,1
906.59,8,0,6.810792734775353,4,6,0,0,0,1,999999.0,0,1
1361.94,11,0,7.21739941018468,2,1,0,0,0,1,999999.0,1,1
2862.76,19,0,7.959890725686532,2,6,5,0,0,1,999999.0,1,1
4295.56,22,1,8.365569981510884,0,1,3,25,0,1,999999.0,1,1
190612.9,11,1,12.158005195140213,3,7,3,85,0,1,999999.0,2,0
1028.67,8,0,6.936993641538854,2,6,3,0,0,1,999999.0,1,1
1669.85,5,1,7.421087757959309,1,4,3,25,0,1,999999.0,1,1
1761.1,9,0,7.4742615585746845,6,7,3,20,0,1,999999.0,1,1
521.41,9,0,6.258452720198609,6,5,4,0,0,1,999999.0,0,1
1174.6,17,0,7.069533934544762,4,7,0,20,0,2,62401.00014011667,1,1
450.16,18,0,6.111822043771716,4,2,6,0,0,1,999999.0,0,1
130676.41,6,1,11.780487046112416,0,7,3,85,0,1,999999.0,2,0
3195.17,4,0,8.06970849696091,6,2,4,0,0,1,999999.0,1,1
2252.11,5,0,7.720066763030903,7,7,6,20,0,1,999999.0,1,1
3139.88,3,0,8.052258294415335,2,4,0,0,0,1,999999.0,1,1
171.67,4,0,5.151382258424339,2,7,4,20,0,1,999999.0,0,1
3036.61,20,1,8.018826300984863,1,4,4,25,0,2,21109.000031183336,1,1
4477.62,3,1,8.407070242242,3,2,1,25,0,1,999999.0,1,1
3135.2,2,1,8.05076715494693,1,7,0,45,0,1,999999.0,1,2
1240.06,13,1,7.123721132142241,3,6,2,25,0,1,999999.0,1,1
3814.23,4,0,8.246756230236807,7,3,0,0,0,1,999999.0,1,1
3395.51,0,0,8.130503712834294,5,2,1,0,0,2,4094.0000961666665,1,1
289.55,8,0,5.671775678521114,2,1,3,0,0,1,999999.0,0,1
1208.44,10,1,7.097912721543866,3,7,5,45,0,1,999999.0,1,2
126375.8,20,1,11.74702319954478,1,7,3,85,0,1,999999.0,2,0
598.66,16,0,6.396362827933244,4,4,6,0,0,1,999999.0,0,1
3957.55,7,0,8.283633075578832,6,5,4,0,0,1,999999.0,1,1
3847.37,0,1,8.255404961009265,1,1,2,25,0,1,999999.0,1,1
150.86,12,0,5.022959043785088,6,2,5,0,0,1,999999.0,0,1
4769.22,3,0,8.47014770441211,5,5,1,0,0,1,999999.0,1,1
4834.75,23,1,8.483791514782206,0,6,5,25,0,1,999999.0,1,1
186662.49,7,1,12.137062756041274,1,7,0,85,0,1,999999.0,2,0
